Filename,Description,Keywords,Categories,Editorial,Mature content,illustration
11.eps,"Blue disposable face mask with white elastic straps, featuring a breathable design for protection against airborne pathogens and pollution, suitable for healthcare and everyday use.","mask, face, protection, blue, disposable, medical, healthcare, hygiene, safety, protection, healthcare, prevention, pollution, virus, bacteria, filter, breathable, elastic, strap, white, clean","Healthcare/Medical, Interiors",no,no,yes
12.eps,"Vector graphic illustration of a light blue disposable face mask with white trim and elastic ear strap, symbolizing protection and hygiene.","mask, face, protection, blue, disposable, medical, healthcare, safety, hygiene, prevention, virus, filter, breathable, strap, elastic, trim, white, clean, vector, graphic, illustration, design, health, wellness","Healthcare/Medical, Interiors",no,no,yes
13.eps,"Vector illustration of a black face mask with an elastic strap, showcasing a sleek design for health and safety.","mask, face, protection, black, health, safety, hygiene, medical, cover, prevention, virus, covid, pandemic, strap, elastic, design, fashion, accessory, vector, illustration","Healthcare/Medical, Beauty/Fashion",no,no,yes
14.eps,"Vector graphic illustration of a black face mask with elastic straps, providing a secure and comfortable fit for health and safety protection.","mask, face, protection, black, elastic, straps, hygiene, safety, health, medical, prevention, virus, covid, respirator, protection, accessory, fashion, design, style, material, fabric, textile, equipment, wearable","Healthcare/Medical, Beauty/Fashion",no,no,yes
15.eps,White KN95 face mask with adjustable straps and multiple layers for effective filtration and protection.,"mask, face, protection, safety, health, kn95, filter, respirator, hygiene, medical, prevention, pollution, white, strap, adjustable, layer, filtration, airborne, pollutant, equipment","Healthcare/Medical, Objects",no,no,yes
16.eps,A white face mask with elastic straps and ventilation design for a secure fit.,"mask, face, protection, respirator, safety, health, hygiene, medical, breathing, filter, ventilation, elastic, strap, white, clean, protective, equipment, prevention, pollution, control, respirator, facepiece","Healthcare/Medical, Objects",no,no,yes
17.eps,"Delicate vector graphic illustration of a blue rose with lush green leaves, showcasing intricate floral design elements in a charming and elegant visual representation.","rose, blue, flower, leaves, green, illustration, graphic, design, floral, vector, bloom, beauty, art, decorative, petals, nature, elegant, charming, vibrant, botanical, watercolor, soft","Interiors, Nature",no,no,yes
18.eps,"Delicate blue roses with leaves are showcased in a beautiful vector graphic illustration, highlighting the intricate details and soft color palette of the floral design.","rose, flower, blue, illustration, vector, graphic, leaves, floral, design, nature, beauty, bloom, petal, soft, color, palette, delicate, elegant, botanical, watercolor, artistic","Interiors, Nature",no,no,yes
19.eps,Elegant gold frame with ornate details and gradient effect adds a touch of luxury to designs and presentations.,"gold, frame, elegant, luxury, ornate, vintage, decorative, border, design, gradient, illustration, vector, graphic, certificate, template, background, shiny, classic, ornamental, art","Vintage, Backgrounds/Textures",no,no,yes
20.eps,"White speech bubble containing multiple red hearts, representing love and affection in a digital vector graphic.","heart, love, red, speech, bubble, symbol, affection, emotion, graphic, illustration, vector, design, heartshape, valentine, romantic, icon, symbol, hearticon, heartdesign, loveicon","Signs/Symbols, Holidays",no,no,yes
21.eps,Simple red speech bubble vector illustration with a white border and tail on a transparent background.,"speech, bubble, red, illustration, vector, graphic, design, white, border, tail, transparent, background, communication, message, talk, chat, dialogue, conversation, text, comment","Backgrounds/Textures, Interiors",no,no,yes
22.eps,"A vector illustration of a pizza slice featuring pepperoni, mushrooms, tomatoes, and basil on a crispy crust.","pizza, slice, pepperoni, mushroom, tomato, basil, food, italian, cuisine, topping, crust, cheese, graphic, illustration, vector, design, meal, snack, savory","Food and Drink, Interiors",no,no,yes
23.eps,A bowl filled with white and orange eggs in a vector graphic illustration,"egg, bowl, orange, white, food, nutrition, breakfast, lunch, dinner, meal, plate, table, illustration, design, graphic, vector, eggshell, cooking, recipe, cuisine","Food and Drink, Interiors",no,no,yes
24.eps,"A vibrant vector illustration of a classic hamburger, featuring a toasted sesame seed bun, crunchy lettuce, juicy tomato, and melted cheese, carefully designed to represent a typical fast food meal.","hamburger, bun, sesame, seeds, lettuce, tomato, onion, cheese, fast, food, meal, sandwich, beef, burger, illustration, graphic, design, vector, colorful, foodie, snack, cuisine","Food and Drink, Vintage",no,no,yes
25.eps,"A fresh greek salad with vegetables, feta cheese, and olives in a square bowl, showcasing a healthy and delicious meal option in a vibrant vector graphic illustration.","salad, greek, vegetables, feta, cheese, olives, bowl, healthy, fresh, nutrition, food, meal, diet, lunch, dinner, cuisine, ingredient, culinary, gourmet, delicious, appetizing, illustration, graphic, design","Food and Drink, Interiors",no,no,yes
